District,Encoded_Value
24parganasnorth,0
24parganassouth,1
aandnislands,2
adilabad,3
agra,4
ahmedabadcommr,5
ahmedabadrural,6
ahmednagar,7
ahwadang,8
aizawl,9
ajmer,10
akola,11
alapuzha,12
aligarh,13
alirajpur,14
allahabad,15
almora,16
alwar,17
ambala,18
ambalarural,19
ambalaurban,20
ambedkarnagar,21
amravaticommr,22
amravatirural,23
amreli,24
amritsar,25
amritsarrural,26
anand,27
anantapur,28
anantnag,29
andaman,30
angul,31
anjaw,32
anuppur,33
araria,34
ariyalur,35
arwal,36
asansol,37
ashoknagar,38
auraiya,39
aurangabad,40
aurangabadcommr,41
aurangabadrural,42
awantipora,43
azamgarh,44
badaun,45
baddipolicedist,46
bagaha,47
bagalkot,48
bageshwar,49
baghpat,50
bahraich,51
baksa,52
balaghat,53
balasore,54
ballia,55
balod,56
balodabazar,57
balrampur,58
banda,59
bandipora,60
bangalorecommr,61
bangalorerural,62
banka,63
bankura,64
banswara,65
barabanki,66
baragarh,67
baramulla,68
baran,69
bareilly,70
barmer,71
barnala,72
barpeta,73
barwani,74
baska,75
basti,76
batala,77
bdncp,78
beed,79
begusarai,80
belgaum,81
bellary,82
bemetara,83
berhampur,84
bettiah,85
betul,86
bhabhua,87
bhadrak,88
bhagalpur,89
bhandara,90
bharatpur,91
bharuch,92
bhatinda,93
bhavnagar,94
bhilwara,95
bhimnagar,96
bhind,97
bhiwani,98
bhojpur,99
bhopal,100
bhopalrly,101
bidar,102
bieo,103
bijapur,104
bijnor,105
bikaner,106
bilaspur,107
birbhum,108
bishnupur,109
bizapur,110
bkpcp,111
bokaro,112
bolangir,113
bongaigaon,114
border,115
borderdistrict,116
boudh,117
budgam,118
bulandshahar,119
buldhana,120
bundi,121
burdwan,122
burhanpur,123
buxar,124
cachar,125
car,126
caw,127
cbcid,128
cbpura,129
central,130
centraldelhi,131
chaibasa,132
chamarajnagar,133
chamba,134
chamoli,135
champawat,136
champhai,137
chandel,138
chandigarh,139
chandoli,140
chandrapur,141
changlang,142
chatra,143
chengai,144
chennai,145
chennairly,146
chennaisuburban,147
chhatarpur,148
chhindwara,149
chickmagalur,150
chirang,151
chitradurga,152
chitrakootdham,153
chittoor,154
chittorgarh,155
churachandpur,156
churu,157
cid,158
cidcrime,159
coimbatorerural,160
coimbatoreurban,161
coochbehar,162
cpamritsar,163
cpjalandhar,164
cpludhiana,165
crimebranch,166
crimejammu,167
crimekashmir,168
crimesrinagar,169
csmnagar,170
cuddalore,171
cuddapah,172
cuttack,173
cyberabad,174
dahod,175
dakshindinajpur,176
dakshinkannada,177
daman,178
damoh,179
dandnhaveli,180
dantewara,181
darbhanga,182
darjeeling,183
darrang,184
datiya,185
dausa,186
davanagere,187
dcpbbsr,188
dcpctc,189
dehradun,190
delhil,191
deogarh,192
deoghar,193
deoria,194
dewas,195
dhalai,196
dhamtari,197
